sampleid	Site	Field_no	Treatment
WINDMILL_farm-Control	WINDMILL_farm	20	Control
Jemma_9-Drought	Jemma_9	55	Drought
Castle_Field_West_W-Drought	Castle_Field_West_W	2	Drought
Lardon Chase-Drought	Lardon Chase	67	Drought
HARLEY_FARMS_new2b-Control	HARLEY_FARMS_new2b	19	Control
Jemma_9-Control	Jemma_9	55	Control
Lardon Chase-Control	Lardon Chase	67	Control
Jemma_6-Drought	Jemma_6	54	Drought
WINDMILL_farm-Drought	WINDMILL_farm	20	Drought
HARLEY_FARMS_new2b-Drought	HARLEY_FARMS_new2b	19	Drought
Castle_Field_West_W-Control	Castle_Field_West_W	2	Control
Jemma_6-Control	Jemma_6	54	Control
