OTU_ID	HARLEY_FARMS_new2b-Control	HARLEY_FARMS_new2b-Drought	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon_Chase-Control	Lardon_Chase-Drought
7b767de85e45aafef3b8f8f9502f65ea	0	0	0	0	0	0	2	0	0	0	0	0
2444eb0136cedba43fb3c5502fb60828	0	0	0	0	0	0	1	0	0	0	0	0
c4e7e72bcb5035f2f2d48cc1bd358536	0	2	0	3	5	0	2	0	0	0	1	0
51b51c79dcef1734e4b0731a2aa89482	2	2	7	2	0	0	4	0	2	2	2	2
5e07ada7eba22e9513883191e1e172c2	0	0	2	0	0	0	2	0	0	0	0	0
caf0c74607eb42137c6933c5f02bb41d	0	0	0	0	1	4	0	0	0	0	0	0
a1959b578eb4996fe1622876709424bd	6	0	2	0	0	0	0	0	0	0	0	0
a6dfe1d2a436495ac43b6a3d84b38dde	8	1	2	1	2	3	1	0	0	3	2	0
5b3d82f2bc0d38784ee7c42b38e94217	0	0	2	0	0	0	0	0	0	0	0	0
2824469ad4ce3497fe6b83117b69cd94	0	0	0	0	0	0	2	0	0	0	0	0
6871dead77fc93cb2cc93284de865058	1	0	0	0	0	0	0	0	0	0	0	0
6b5e1e4d8085b0449f6cc1d246250f26	4	0	0	3	0	0	0	0	0	0	0	2
0fafb2679da87cdf62c6d51a59ed0e06	0	2	0	3	0	0	2	4	5	3	2	0
1b2d420502af8e3436e63f1936d3e76a	0	0	0	0	2	0	0	0	0	2	0	3
ff24eae4f3c89f1a6d6bf8aaf442d4d9	0	0	0	0	0	0	2	0	0	0	2	0
a82f4cfa11e724a63852dce8fd548ae9	0	0	0	0	0	0	0	2	0	0	0	0
fe8456c34ec9fbe3eb330914af9687c8	0	0	2	0	0	0	2	5	0	0	0	0
458b17226303b920acb545eb2fd17109	3	3	2	3	6	3	1	2	0	2	0	3
5632258a641b7d7d0b201c6e26c8fcff	0	0	0	2	0	0	0	0	0	0	0	0
