OTU_ID	P19C1	P19C2	P19C3	P19S1	P19S2	P19S3	P20C1	P20C2	P20C3	P20S1	P20S2	P20S3	P2C1	P2C2	P2C3	P2S1	P2S2	P2S3	P54C1	P54C2	P54C3	P54S1	P54S2	P54S3	P55C1	P55C2	P55C3	P55S1	P55S2	P55S3	P67C1	P67C2	P67C3	P67S1	P67S2	P67S3
0c8892091d43fea80255dd7541dfb4b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
c3ce5d7e5e79a893bbf6161e2962f751	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7159130180c54a8f22f5d31b8d96a07a	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7b767de85e45aafef3b8f8f9502f65ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1f3dd6782a84066a85443ad7354fb363	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2444eb0136cedba43fb3c5502fb60828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a5ad38b787b3f11f157c6cdf2344e68	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a891746e78d966d0e16e6696d16727ce	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61e1e6b5c646f820ab8c4d2cb46f7e0d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4e7e72bcb5035f2f2d48cc1bd358536	0	0	0	1	0	7	0	0	0	5	0	2	6	0	3	0	2	0	4	0	3	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0
9c5b0912970f1b771e23c6c84c496847	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0cd7e342b8666555b9efdb7748eb0b7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9146240f52e266241a05c61447c8ee46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51b51c79dcef1734e4b0731a2aa89482	2	2	0	2	3	0	3	6	4	1	1	2	3	0	0	0	1	0	4	0	5	2	0	0	2	0	1	3	0	0	6	0	2	0	2	1
02ed11c99521b177d1bb817a1043c5a0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7b7208e81b0551a43d61564a3d363bef	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95b2567bc613d82831b7a58f16853503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
c037381d7caf97e0eb31a43be8508f22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8674ad0040eeab39a675a3b1c7735ae	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e07ada7eba22e9513883191e1e172c2	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
b16b254ef5cc4c2a27d329698cc3dd0e	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caf0c74607eb42137c6933c5f02bb41d	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a1959b578eb4996fe1622876709424bd	10	3	0	0	4	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93655acfc5876b5fc41a8a6978a765d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
a6dfe1d2a436495ac43b6a3d84b38dde	2	7	7	2	2	3	2	0	1	1	4	0	7	0	2	2	0	3	4	2	1	0	0	3	0	0	0	0	5	5	0	2	2	1	0	2
8dc46926d05d2f6e0d25643acd869a86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
f62105f0e9f7e8c064a1ea335e310dac	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ea055b291e0fd93b025646444107c50f	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
221d7d681702d827e41405d9b2a904ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
467e27e70cf13485ea477f4f32d37d18	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
