OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource
004e99c9b62503d7f639eef5f3e47cca	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_ord_Incertae_sedis;f_Junewangiaceae;g_Sporidesmiella	0	4	0	0	0	0	0	0	0	0	Sporidesmiella	1CB1CB9B-36B9-11D5-9548-00D0592D548C	10023	13	Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Probable	Microfungus	NULL	Decay wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
00ca81bd3a995b88df8c2d3d6f6c1f75	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Corticiales;f_Corticiaceae;g_Corticiaceae_gen_Incertae_sedis	0	0	0	0	0	8	0	0	0	0	Corticiaceae	1CB1CCF9-36B9-11D5-9548-00D0592D548C	80648	9	Pathotroph-Saprotroph	Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Corticioid-Microfungus	NULL	Saprobes or pathogens on a wide range of mainly woody substrata; a few species are lichenicolous and some are grass pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
00f84ed0045a28d8d79b1722f14b20b4	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae	19	61	0	0	0	0	0	13	2	0	Phaeosphaeriaceae	1CB1CD8E-36B9-11D5-9548-00D0592D548C	81637	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
0162ca39d6b6796ed81cf7def3a5b638	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Stephanosporaceae;g_Lindtneria	0	0	0	0	0	10	0	0	0	0	Lindtneria	1CB1C87B-36B9-11D5-9548-00D0592D548C	17983	13	Saprotroph	|Wood Saprotroph|	Probable	Corticioid	White Rot	As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM).; Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
01f7051580f7fd38659ddc069cc84e47	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Glomerellales;f_Plectosphaerellaceae;g_Paragibellulopsis	0	0	6	0	0	0	0	0	0	0	Paragibellulopsis	7AEBDCE2-3665-4948-B70F-5C3313AB45E9	828060	13	Saprotroph	|Plant Saprotroph|	Probable	Microfungus	NULL	As litter_saprotroph (Põlme et al. 2020); Decay leaf, fruit, seed (Põlme et al. 2020)	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
0230ae6c2ac9033c7a4c84574d3e2be7	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Ploettnerulaceae;g_Oculimacula	0	0	0	22	0	0	0	0	0	0	Oculimacula	18B9404A-29D7-4155-BC97-EAFE028C1A07	28777	13	Pathotroph	|Plant Pathogen|	Probable	Microfungus-Pezizoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
0233c7675e349bd6e86884c1c5e5b937	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Pleurotheciales;f_Pleurotheciaceae;g_Phragmocephala	0	0	0	0	0	0	0	0	5	0	Phragmocephala	1CB1CA06-36B9-11D5-9548-00D0592D548C	9367	13	Saprotroph	|Wood Saprotroph|	Probable	Microfungus	NULL	Decay wood (Põlme et al. 2020)	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
02477c395c3e633e3dc4aadf9b08ebfe	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Mycosphaerellales;f_Extremaceae;g_Paradevriesia	0	0	0	0	0	8	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
025e9f8070cfa905aa869508c3797e82	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Cordycipitaceae;g_Beauveria	1	17	51	86	4	46	73	672	105	186	Beauveria	1CB17F31-36B9-11D5-9548-00D0592D548C	7346	13	Pathotroph-Saprotroph-Symbiotroph	|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph	Probable	Microfungus	NULL	As animal_decomposer (Põlme et al. 2020); As foliar_endophyte (Põlme et al. 2020); Decay animal material (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
02a24ad22d8acfd3a52c46ed92c14640	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_ord_Incertae_sedis;f_Sordariomycetes_fam_Incertae_sedis;g_Sordariomycetes_gen_Incertae_sedis	67	303	363	210	434	78	119	196	37	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
