OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
004e99c9b62503d7f639eef5f3e47cca	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_ord_Incertae_sedis;f_Junewangiaceae;g_Sporidesmiella	0	4	0	0	0	0	0	0	0	0
00ca81bd3a995b88df8c2d3d6f6c1f75	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Corticiales;f_Corticiaceae;g_Corticiaceae_gen_Incertae_sedis	0	0	0	0	0	8	0	0	0	0
00f84ed0045a28d8d79b1722f14b20b4	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae	19	61	0	0	0	0	0	13	2	0
0162ca39d6b6796ed81cf7def3a5b638	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Stephanosporaceae;g_Lindtneria	0	0	0	0	0	10	0	0	0	0
01f7051580f7fd38659ddc069cc84e47	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Glomerellales;f_Plectosphaerellaceae;g_Paragibellulopsis	0	0	6	0	0	0	0	0	0	0
0230ae6c2ac9033c7a4c84574d3e2be7	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Ploettnerulaceae;g_Oculimacula	0	0	0	22	0	0	0	0	0	0
0233c7675e349bd6e86884c1c5e5b937	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Pleurotheciales;f_Pleurotheciaceae;g_Phragmocephala	0	0	0	0	0	0	0	0	5	0
02477c395c3e633e3dc4aadf9b08ebfe	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Mycosphaerellales;f_Extremaceae;g_Paradevriesia	0	0	0	0	0	8	0	0	0	0
025e9f8070cfa905aa869508c3797e82	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Cordycipitaceae;g_Beauveria	1	17	51	86	4	46	73	672	105	186
02a24ad22d8acfd3a52c46ed92c14640	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_ord_Incertae_sedis;f_Sordariomycetes_fam_Incertae_sedis;g_Sordariomycetes_gen_Incertae_sedis	67	303	363	210	434	78	119	196	37	56
02a83624138cf8079c9611db3bae92a3	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Branch06;f_Branch06_fam_Incertae_sedis;g_Branch06_gen_Incertae_sedis	0	50	4	3	0	0	0	0	0	0
