Field,Control/Shelter,Plot,Details,Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (°C),Soil Temperature (°F),Bulk EC (Raw),Bulk EC (TC),Pore Water EC,Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
Holies,Shelter,S3,Only disfunctional tarps that I removed earlier,HG259498,258539,28/09/2023 14:16,Default,51.515295,-1.148702,0.016,1.6,22.4,72.3,0.03,0.03,0,3.4,3.2,1,0.31,,Default,0,0,0,0,0,0
Holies,Shelter,S3,Only disfunctional tarps that I removed earlier,HG259498,258539,28/09/2023 14:17,Default,51.51531,-1.148688,0.021,2.1,22.4,72.3,0.03,0.03,0,3.4,3.4,1,0.29,,Default,0,0,0,0,0,0
Holies,Shelter,S3,Only disfunctional tarps that I removed earlier,HG259498,258539,28/09/2023 14:18,Default,51.51531,-1.148688,0.017,1.7,22.1,71.9,0.03,0.03,0,3.4,3.2,1.1,0.34,,Default,0,0,0,0,0,0
Holies,Control,C3,NA,HG259498,Unknown,28/09/2023 14:20,Default,51.515342,-1.148713,0.194,19.4,21.9,71.5,0.13,0.14,1.33,3.4,11.7,4.8,0.41,,Default,0,0,0,0,0,0
Holies,Control,C3,NA,HG259498,258539,28/09/2023 14:20,Default,51.515342,-1.148713,0.156,15.6,21.9,71.5,0.14,0.15,1.97,3.4,9.4,5.2,0.55,,Default,0,0,0,0,0,0
Holies,Control,C3,NA,HG259498,Unknown,28/09/2023 14:21,Default,51.515342,-1.148713,0.179,17.9,21.9,71.5,0.14,0.15,1.6,3.4,10.8,5,0.46,,Default,0,0,0,0,0,0
Holies,Control,C2,NA,HG259498,Unknown,28/09/2023 14:22,Default,51.515342,-1.148773,0.198,19.8,21.5,70.7,0.16,0.17,1.56,3.4,12,5.7,0.48,,Default,0,0,0,0,0,0
Holies,Control,C2,NA,HG259498,258539,28/09/2023 14:23,Default,51.515342,-1.148772,0.185,18.5,21.3,70.3,0.14,0.14,1.41,3.4,11.2,5,0.45,,Default,0,0,0,0,0,0
Holies,Control,C2,NA,HG259498,258539,28/09/2023 14:23,Default,51.515342,-1.148772,0.185,18.5,21.3,70.3,0.14,0.14,1.43,3.4,11.1,4.9,0.44,,Default,0,0,0,0,0,0
Holies,Shelter,S2,did not save measurement to phone. Only wrote down soil moisture measurement,,,,,,,,3.4,,,,,,,,,,,,,,,,,
Holies,Shelter,S2,NA,HG259498,258539,28/09/2023 14:25,Default,51.515277,-1.148763,0.031,3.1,21.1,70,0.04,0.05,13.13,3.4,3.7,1.5,0.41,,Default,0,0,0,0,0,0
Holies,Shelter,S2,NA,HG259498,258539,28/09/2023 14:25,Default,51.515277,-1.148763,0.059,5.9,21.1,70,0.06,0.07,3.94,3.4,4.8,2.2,0.46,,Default,0,0,0,0,0,0
